solver,benchmark_file,noise,status,flips,elapsed_time
walksat,random_3sat_100v_426c_01.cnf,0.1,UNKNOWN,10000,3.377112166999723
walksat,random_3sat_100v_426c_02.cnf,0.1,SAT,1272,0.4123704390003695
walksat,random_3sat_100v_426c_03.cnf,0.1,UNKNOWN,10000,3.5214166389996535
walksat,random_3sat_100v_426c_04.cnf,0.1,UNKNOWN,10000,3.4376046379984473
walksat,random_3sat_100v_426c_05.cnf,0.1,SAT,220,0.0874718839986599
walksat,random_3sat_100v_426c_06.cnf,0.1,UNKNOWN,10000,3.23472674099321
walksat,random_3sat_100v_426c_07.cnf,0.1,UNKNOWN,10000,3.388009130998398
walksat,random_3sat_100v_426c_08.cnf,0.1,UNKNOWN,10000,3.6686820730028558
walksat,random_3sat_100v_426c_09.cnf,0.1,UNKNOWN,10000,4.063396356999874
walksat,random_3sat_100v_426c_10.cnf,0.1,UNKNOWN,10000,3.84225780700217
walksat,random_3sat_100v_426c_11.cnf,0.1,UNKNOWN,10000,4.10328789200139
walksat,random_3sat_100v_426c_12.cnf,0.1,UNKNOWN,10000,3.527780756005086
walksat,random_3sat_100v_426c_13.cnf,0.1,UNKNOWN,10000,3.824531645994284
walksat,random_3sat_100v_426c_14.cnf,0.1,SAT,135,0.04652949999581324
walksat,random_3sat_100v_426c_15.cnf,0.1,UNKNOWN,10000,3.216133872003411
walksat,random_3sat_100v_426c_16.cnf,0.1,SAT,9872,3.7073476099976688
walksat,random_3sat_100v_426c_17.cnf,0.1,SAT,4889,1.6363188839968643
walksat,random_3sat_100v_426c_18.cnf,0.1,UNKNOWN,10000,3.741804826000589
walksat,random_3sat_100v_426c_19.cnf,0.1,UNKNOWN,10000,3.576121496000269
walksat,random_3sat_100v_426c_20.cnf,0.1,UNKNOWN,10000,3.583203270995
walksat,random_3sat_100v_426c_01.cnf,0.3,UNKNOWN,10000,3.335846563000814
walksat,random_3sat_100v_426c_02.cnf,0.3,UNKNOWN,10000,2.899003562000871
walksat,random_3sat_100v_426c_03.cnf,0.3,SAT,5907,1.642893805001222
walksat,random_3sat_100v_426c_04.cnf,0.3,UNKNOWN,10000,2.661513801002002
walksat,random_3sat_100v_426c_05.cnf,0.3,SAT,1682,0.4664649830010603
walksat,random_3sat_100v_426c_06.cnf,0.3,SAT,119,0.033139626000775024
walksat,random_3sat_100v_426c_07.cnf,0.3,SAT,146,0.036699848002172075
walksat,random_3sat_100v_426c_08.cnf,0.3,SAT,668,0.1756817819987191
walksat,random_3sat_100v_426c_09.cnf,0.3,UNKNOWN,10000,2.9077541489969008
walksat,random_3sat_100v_426c_10.cnf,0.3,UNKNOWN,10000,2.999128029005078
walksat,random_3sat_100v_426c_11.cnf,0.3,UNKNOWN,10000,2.992776199003856
walksat,random_3sat_100v_426c_12.cnf,0.3,UNKNOWN,10000,3.4351094150042627
walksat,random_3sat_100v_426c_13.cnf,0.3,UNKNOWN,10000,3.0750653050054098
walksat,random_3sat_100v_426c_14.cnf,0.3,SAT,435,0.117462196998531
walksat,random_3sat_100v_426c_15.cnf,0.3,UNKNOWN,10000,2.871342218000791
walksat,random_3sat_100v_426c_16.cnf,0.3,SAT,347,0.09447428699786542
walksat,random_3sat_100v_426c_17.cnf,0.3,SAT,2493,0.7314742620001198
walksat,random_3sat_100v_426c_18.cnf,0.3,SAT,4468,1.2369014870055253
walksat,random_3sat_100v_426c_19.cnf,0.3,SAT,598,0.1565474150047521
walksat,random_3sat_100v_426c_20.cnf,0.3,UNKNOWN,10000,2.9049287739981082
walksat,random_3sat_100v_426c_01.cnf,0.5,UNKNOWN,10000,2.284883799999079
walksat,random_3sat_100v_426c_02.cnf,0.5,SAT,1268,0.33149320099619217
walksat,random_3sat_100v_426c_03.cnf,0.5,SAT,1569,0.4110975799994776
walksat,random_3sat_100v_426c_04.cnf,0.5,UNKNOWN,10000,2.12895973999548
walksat,random_3sat_100v_426c_05.cnf,0.5,SAT,227,0.05107312899781391
walksat,random_3sat_100v_426c_06.cnf,0.5,SAT,67,0.01606058600009419
walksat,random_3sat_100v_426c_07.cnf,0.5,SAT,247,0.05390729200007627
walksat,random_3sat_100v_426c_08.cnf,0.5,SAT,1058,0.2169571479971637
walksat,random_3sat_100v_426c_09.cnf,0.5,UNKNOWN,10000,2.0991032739984803
walksat,random_3sat_100v_426c_10.cnf,0.5,SAT,2292,0.5729767189986887
walksat,random_3sat_100v_426c_11.cnf,0.5,UNKNOWN,10000,2.4560446460018284
walksat,random_3sat_100v_426c_12.cnf,0.5,UNKNOWN,10000,2.5057332680007676
walksat,random_3sat_100v_426c_13.cnf,0.5,UNKNOWN,10000,2.7228785019979114
walksat,random_3sat_100v_426c_14.cnf,0.5,SAT,212,0.04638472700025886
