solver,benchmark_file,problem_type,num_vars,num_clauses,status,cpu_time,elapsed_time,wall_time,peak_memory,decisions,unit_propagations,pure_eliminations,conflicts,learned_clauses,flips,restarts,verified
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_07.cnf,random_3sat,100,426,SAT,4.337168452000014,4.338070753001375,4.338070753001375,240423,1669,18055,69,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_07.cnf,random_3sat,100,426,SAT,0.9326085359999752,0.9327538360012113,0.9327538360012113,211343,276,3160,66,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_07.cnf,random_3sat,100,426,TIMEOUT,59.966929962999984,60.00127159299882,60.00127159299882,208807,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_07.cnf,random_3sat,100,426,SAT,0.13304738900001212,0.1330689979949966,0.1330689979949966,68711,,,,,,225,0,True
probsat,benchmarks/random_sat/random_3sat_100v_426c_07.cnf,random_3sat,100,426,SAT,0.5576963270000306,0.5582365289956215,0.5582365289956215,68711,,,,,,483,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_08.cnf,random_3sat,100,426,SAT,37.99520745699999,38.02613970100356,38.02613970100356,256215,15226,136165,2789,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_08.cnf,random_3sat,100,426,SAT,0.16924575199993797,0.16926310400594957,0.16926310400594957,210927,71,578,27,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_08.cnf,random_3sat,100,426,TIMEOUT,59.973396193999974,60.00134196499857,60.00134196499857,211887,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_08.cnf,random_3sat,100,426,SAT,0.8320339000000558,0.832803758996306,0.832803758996306,67479,,,,,,1359,0,True
probsat,benchmarks/random_sat/random_3sat_100v_426c_08.cnf,random_3sat,100,426,SAT,0.2105678089999401,0.21059136700205272,0.21059136700205272,67479,,,,,,209,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_09.cnf,random_3sat,100,426,UNSAT,51.20238987000005,51.237053617995116,51.237053617995116,240251,18652,179073,2057,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_09.cnf,random_3sat,100,426,UNSAT,6.350173839999911,6.35316302299907,6.35316302299907,236459,1880,21611,305,,,,,
cdcl,benchmarks/random_sat/random_3sat_100v_426c_09.cnf,random_3sat,100,426,TIMEOUT,59.973234899999966,60.00182319399755,60.00182319399755,250819,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_09.cnf,random_3sat,100,426,UNKNOWN,6.082454468000037,6.085139934002655,6.085139934002655,67961,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_100v_426c_09.cnf,random_3sat,100,426,UNKNOWN,9.83704315500006,9.841270331002306,9.841270331002306,67961,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_10.cnf,random_3sat,100,426,SAT,19.303678105000017,19.31110975900083,19.31110975900083,239627,7008,69894,375,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_10.cnf,random_3sat,100,426,SAT,3.4622531310000113,3.4657943159982096,3.4657943159982096,222963,1062,11884,143,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_10.cnf,random_3sat,100,426,TIMEOUT,59.96596317199999,60.00159801099653,60.00159801099653,221203,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_10.cnf,random_3sat,100,426,UNKNOWN,6.302312220999966,6.305375998999807,6.305375998999807,69079,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_100v_426c_10.cnf,random_3sat,100,426,SAT,6.603335173000005,6.607816151998122,6.607816151998122,69079,,,,,,6513,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_11.cnf,random_3sat,100,426,TIMEOUT,59.97805696399996,60.001138953004556,60.001138953004556,251663,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_11.cnf,random_3sat,100,426,UNSAT,6.944506690000026,6.947202768998977,6.947202768998977,226159,2146,21868,238,,,,,
cdcl,benchmarks/random_sat/random_3sat_100v_426c_11.cnf,random_3sat,100,426,TIMEOUT,59.9622953789999,60.00191436499881,60.00191436499881,262855,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_11.cnf,random_3sat,100,426,UNKNOWN,6.086056233999898,6.087409484003729,6.087409484003729,69609,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_100v_426c_11.cnf,random_3sat,100,426,UNKNOWN,10.099660314999937,10.116738723998424,10.116738723998424,69609,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_12.cnf,random_3sat,100,426,TIMEOUT,59.97067708199984,60.00112824799726,60.00112824799726,251535,,,,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_12.cnf,random_3sat,100,426,UNSAT,6.7015091380001195,6.708095588001015,6.708095588001015,219751,1836,20383,242,,,,,
cdcl,benchmarks/random_sat/random_3sat_100v_426c_12.cnf,random_3sat,100,426,TIMEOUT,59.984158565999905,60.00160278099793,60.00160278099793,200671,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_12.cnf,random_3sat,100,426,UNKNOWN,6.148941161000039,6.152342509005393,6.152342509005393,69219,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_100v_426c_12.cnf,random_3sat,100,426,UNKNOWN,10.210288611999886,10.214902892999817,10.214902892999817,69219,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_13.cnf,random_3sat,100,426,UNSAT,59.87524726300012,59.94724924700131,59.94724924700131,240951,22834,209410,4010,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_13.cnf,random_3sat,100,426,UNSAT,8.433720055999856,8.440460211000754,8.440460211000754,223223,2706,28451,638,,,,,
cdcl,benchmarks/random_sat/random_3sat_100v_426c_13.cnf,random_3sat,100,426,TIMEOUT,59.962695181999834,60.002218215995526,60.002218215995526,320551,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_13.cnf,random_3sat,100,426,UNKNOWN,6.167084368999895,6.169297916996584,6.169297916996584,68993,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_100v_426c_13.cnf,random_3sat,100,426,UNKNOWN,10.054122237000001,10.059723559003032,10.059723559003032,68993,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_14.cnf,random_3sat,100,426,SAT,1.2809322369998881,1.2813883749986417,1.2813883749986417,255975,577,5928,157,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_14.cnf,random_3sat,100,426,SAT,0.21527423399993495,0.2153356100025121,0.2153356100025121,202055,66,725,28,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_14.cnf,random_3sat,100,426,TIMEOUT,59.97132233100001,60.00149125000462,60.00149125000462,195543,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_14.cnf,random_3sat,100,426,SAT,1.3016223929998887,1.302912480001396,1.302912480001396,69329,,,,,,2120,0,True
probsat,benchmarks/random_sat/random_3sat_100v_426c_14.cnf,random_3sat,100,426,SAT,0.24749134600006073,0.24915409000095678,0.24915409000095678,69329,,,,,,231,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_15.cnf,random_3sat,100,426,UNSAT,31.473704719999887,31.49012088499876,31.49012088499876,250659,11956,114734,1019,,,,,
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_15.cnf,random_3sat,100,426,UNSAT,5.369847139000058,5.3711263840014,5.3711263840014,218739,1548,17323,156,,,,,
cdcl,benchmarks/random_sat/random_3sat_100v_426c_15.cnf,random_3sat,100,426,TIMEOUT,59.97481730200002,60.00143831800233,60.00143831800233,198811,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_15.cnf,random_3sat,100,426,UNKNOWN,6.056304197999907,6.058765188994585,6.058765188994585,68013,,,,,,10000,1,
probsat,benchmarks/random_sat/random_3sat_100v_426c_15.cnf,random_3sat,100,426,UNKNOWN,9.994653047999918,10.002552575999289,10.002552575999289,68013,,,,,,10000,1,
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_16.cnf,random_3sat,100,426,SAT,9.806248696000011,9.808649981998315,9.808649981998315,250523,4080,39765,959,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_16.cnf,random_3sat,100,426,SAT,2.1313057470001695,2.133122158003971,2.133122158003971,225419,717,7855,184,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_16.cnf,random_3sat,100,426,TIMEOUT,59.95308648100013,60.00175116799801,60.00175116799801,217907,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_16.cnf,random_3sat,100,426,SAT,3.662950249000005,3.663981038000202,3.663981038000202,68351,,,,,,6073,0,True
probsat,benchmarks/random_sat/random_3sat_100v_426c_16.cnf,random_3sat,100,426,SAT,0.7025789950000672,0.7027178950011148,0.7027178950011148,68351,,,,,,705,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_17.cnf,random_3sat,100,426,SAT,12.236062916000037,12.24143081800139,12.24143081800139,221563,3855,42412,563,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_17.cnf,random_3sat,100,426,SAT,0.6385668410000562,0.6391088660020614,0.6391088660020614,203019,186,2356,47,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_17.cnf,random_3sat,100,426,TIMEOUT,59.973390295999934,60.00165304700204,60.00165304700204,206851,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_17.cnf,random_3sat,100,426,SAT,0.7439212910001061,0.7442982630018378,0.7442982630018378,67625,,,,,,1208,0,True
probsat,benchmarks/random_sat/random_3sat_100v_426c_17.cnf,random_3sat,100,426,SAT,0.39157462700018186,0.3919228849990759,0.3919228849990759,67625,,,,,,379,0,True
dpll_baseline,benchmarks/random_sat/random_3sat_100v_426c_18.cnf,random_3sat,100,426,SAT,16.711631861999876,16.728103986999486,16.728103986999486,249251,6375,59364,663,,,,,True
dpll_jw,benchmarks/random_sat/random_3sat_100v_426c_18.cnf,random_3sat,100,426,SAT,1.7526916720000827,1.7547274429962272,1.7547274429962272,214939,438,5487,75,,,,,True
cdcl,benchmarks/random_sat/random_3sat_100v_426c_18.cnf,random_3sat,100,426,TIMEOUT,59.949380035999866,60.00160122100351,60.00160122100351,192675,,,,,,,,
walksat,benchmarks/random_sat/random_3sat_100v_426c_18.cnf,random_3sat,100,426,UNKNOWN,6.162038817000166,6.163769386999775,6.163769386999775,68967,,,,,,10000,1,
